star_name,served_arpt,fixes
KRATR.KRATR2,PDX,KRATR HYKER
KROTO.KROTO5,ANC,KROTO
KYAAN.KYAAN4,BOI,KYAAN
KYAKS.KYAKS3,FLL FXE HWO OPF PMP,KYAKS
KYCKR.DEVYN2,PAE,KYCKR DEVYN
LAIKS.LAIKS4,AUS,LAIKS BOYZZ
LANDR.LANDR3,APA BJC BKF CFO DEN FNL GXY,LANDR DVV
LANTK.LANTK2,OFF OMA,LANTK
LARKS.LARKS3,APA BJC BKF CFO DEN FNL GXY,LARKS FQF
LAVAN.LAVAN3,ABQ AEG,LAVAN ABQ
LAVAS.LAVAS1,OGG,LAVAS GREHG
LAWGR.LAWGR4,DEN,LAWGR PPINT
LEESE.LEESE3,ISM MCO ORL,LEESE ORL
LEGOZ.LEGOZ3,CRQ NFG,LEGOZ BRIKS AVOLS PACIF
LEMIG.LEMIG2,RND SAT SKF SSF,LEMIG ELKAY
LENNI.LENNI4,LUF,LENNI
LHO.LHO5,SLC,LHO CARTR LHO OGD CARTR DYANN
LINKK.LINKK1,IAH,LINKK GILLL
LINKK.NNCEE2,IAH,LINKK NNCEE KONZZ BEDLM CHKEN PRAYY
LIRCH.HYPER9,CJR EZF FRR HEF HWY IAD JYO MRB NYG OKV RMN,LIRCH BINNS HYPER
LNDHY.LNDHY1,OGG,LNDHY MUNJU HOMAI
LONGZ.LONGZ4,DEN,LONGZ FLNEL
LORLE.LORLE3,STL,RIVRS LORLE
LOSST.LOSST1,BZN,LOSST
LOWBO.LOWBO3,ABQ,LOWBO JOKLO ITUNE
LOZIT.BDEGA4,SFO,LOZIT BDEGA CORKK BRIXX
LOZIT.STLER4,SFO,LOZIT STLER
LUBBR.LUBBR3,FA54 LAL PGD SRQ VNC,LUBBR
LUCIT.LUCIT3,05C 3HO GYY IGQ,LUCIT
LUCKI.LUCKI1,SAN,LUCKI LYNDI
LUNNI.LUNNI2,JAX,CATSU GOTBE LUNNI
LVZ.LENDY8,FRG JFK,LVZ JENNO HARTY STW LENDY LGA
LVZ.LVZ5,39N CDW LDJ MMU N51 SMQ TEB,LVZ STW
LVZ.SLATT6,PHL,LVZ SLATT ETX SPUDS
LVZ.SPUDS7,PHL,LVZ SLATT ETX SPUDS ANMAR
LYNXX.LYNXX8,BUR VNY,LYNXX VNY
LZZRD.LZZRD4,ABQ,LZZRD MKYON
MAATY.MAATY5,LAL MCF TPA VDF,MAATY
MAD.DPK3,BAF BDL CEF,MAD BRISS
MADEE.MADEE5,BLI CYXX CZBB,MADEE
MADII.MADII7,ORD,MADII SOOLU
MAGGI.MAGGI3,HNL,MAGGI CKH
MAHHI.MAHHI3,BCT PBI,MAHHI MRLIN
MAIER.BRUSR1,PHX,MAIER BRUSR
MAJIC.MAJIC4,AFP AKH CLT DCM EHO EQY IPJ LKR N52 UZA,MAJIC MAJIC CLT GIZMO
MAKAH.MAKAH1,HNL,MAKAH ALANA
MARCS.MARCS2,RND SAT SKF SSF,MARCS
MARCS.QERVO2,5C1 BAZ CVB PEZ RND SAT SKF SSF,MARCS PGOUT QERVO
